idProjects,ProjectName,FirstDataSource,ProjectWebpage,FacebookPage,ProjectTwitter,Comments
3595,CrisisNet,Digital Social Innovation Database,http://crisis.net/about/,NULL,NULL,
3596,Critical making summit,Digital Social Innovation Database,Not found,NULL,NULL,
3598,cross media photography project,Digital Social Innovation Database,Not found,NULL,NULL,
3600,CROSS project,Digital Social Innovation Database,http://crossproject.co.uk/index.php/about-us,NULL,NULL,
3601,Crowd sourcing citizen ideas,Digital Social Innovation Database,Not found,NULL,NULL,
3602,Crowd-sourcing,Digital Social Innovation Database,Not found,NULL,NULL,
3604,Crowdculture,Digital Social Innovation Database,https://www.crowdculture.se/en/pages/about-crowdculture--2,NULL,NULL,
3605,Crowdfunding,Digital Social Innovation Database,Not found,NULL,NULL,
3606,crowdfunding for films,Digital Social Innovation Database,Not found,NULL,NULL,
3608,Crowdfunding the Commons,Digital Social Innovation Database,Not found,NULL,NULL,
3609,Crowdfunding the future,Digital Social Innovation Database,Crowdfunding the future,NULL,NULL,
3610,"crowdfunding, crowdsourcing, encouraging entrepreneurship, boosting creativity",Digital Social Innovation Database,Not found,NULL,NULL,Too vague
3611,Crowdsourced futures,Digital Social Innovation Database,Not found,NULL,NULL,
3612,Crowdsourced learning,Digital Social Innovation Database,https://www.agileventures.org/articles/crowdsourced-learning,NULL,NULL,
3613,Crowdsourcing good Math exercises,Digital Social Innovation Database,Not found,NULL,NULL,
3614,Crowdsourcing images for good,Digital Social Innovation Database,Not found,NULL,NULL,
3615,Crowdsourcing legislation,Digital Social Innovation Database,Not found,NULL,NULL,
3616,crowdversations,Digital Social Innovation Database,https://volunteerteam.london.gov.uk/organizations/1230,NULL,NULL,
3618,Culture innovation,Digital Social Innovation Database,Not found,NULL,NULL,
3619,"CultureCrowd, The Potential of Equity Crowdfunding for the Arts and Creative Industries",Digital Social Innovation Database,Not found,NULL,NULL,
3620,CultureShift Russia: Art Lab,Digital Social Innovation Database,http://futureeverything.org/projects/culture-shift-russia-art-lab/,NULL,NULL,
3623,Custom Label Printing,Digital Social Innovation Database,Not SI,NULL,NULL,Spam
3629,D&CO,Digital Social Innovation Database,http://www.dandco.nz/,NULL,NULL,Looks commercial rather than SI
3630,D-CENT,Digital Social Innovation Database,https://dcentproject.eu/about-us/,NULL,NULL,
3634,Daily Post Punjabi,Digital Social Innovation Database,Not found,NULL,NULL,Not SI? Mainstream media page
3636,Data co-operative,Digital Social Innovation Database,https://www.uk.coop/open-data,NULL,NULL,
3637,Data Discovery Platform for Genomic Data,Digital Social Innovation Database,http://dnadigest.org/event/ux-design-data-discovery-platform/,NULL,NULL,
3639,Data recovery tips,Digital Social Innovation Database,Not found,NULL,NULL,
3640,Data Transparency,Digital Social Innovation Database,Not found,NULL,NULL,
3641,data.overheid.nl,Digital Social Innovation Database,https://data.overheid.nl/over-ons,NULL,NULL,
3642,Datademo,Digital Social Innovation Database,http://datademo.fi/index.html%3Fp=317.html,NULL,NULL,
3643,DataGM - The Greater Manchester Datastore,Digital Social Innovation Database,http://gmdatastore.org.uk/,NULL,NULL,
3644,Datanest.sk,Digital Social Innovation Database,Not found,NULL,NULL,
3645,Date Guvernamentale Deschise (Open Government Data),Digital Social Innovation Database,Not found,NULL,NULL,
3646,Dave,Digital Social Innovation Database,Not found,NULL,NULL,
3649,dddddddddddd,Digital Social Innovation Database,Not found,NULL,NULL,Spam
3655,Debt Relief Programs,Digital Social Innovation Database,Not found,NULL,NULL,
3658,DecarboNet,Digital Social Innovation Database,https://www.decarbonet.eu/the-project/,NULL,NULL,
3659,DECODE,Digital Social Innovation Database,https://decodeproject.eu/what-decode,NULL,NULL,
3662,Deebase,Digital Social Innovation Database,Not found,NULL,NULL,
3663,Deep Dialogue,Digital Social Innovation Database,http://dialogueinstitute.org/deep-dialogue/,NULL,NULL,
3665,Degooglize Internet,Digital Social Innovation Database,https://degooglisons-internet.org/?l=en,NULL,NULL,
3666,Delivering intelligence led early intervention for vulnerable young people,Digital Social Innovation Database,Not found,NULL,NULL,
3667,Delivery Services,Digital Social Innovation Database,Not found,NULL,NULL,
3668,Democratisation of Usability,Digital Social Innovation Database,Not found,NULL,NULL,
3670,dentalimplants mesa,Digital Social Innovation Database,https://mesadental.com/affordable-dental-implants-mesa-az/,NULL,NULL,Not social innovation
3674,Design for Social Innovation through Social Computing,Digital Social Innovation Database,http://desis.id.tue.nl/about/,NULL,NULL,
3675,"Design global, manufacture local",Digital Social Innovation Database,Not found,NULL,NULL,
3676,Design op maat,Digital Social Innovation Database,http://designopmaat.com/over-ons.html,NULL,NULL,
3678,Designers & Artists 4 Genomics Award,Digital Social Innovation Database,https://waag.org/en/project/designers-artists-4-genomics-award,NULL,NULL,
3680,Develop your talents in gardening,Digital Social Innovation Database,Not found,NULL,NULL,
3681,Developing a collaborative platform for language learning,Digital Social Innovation Database,Not found,NULL,NULL,
3682,Developing a mobile messaging tool for socially isolated people and organisations,Digital Social Innovation Database,Not found,NULL,NULL,
3684,Developing www.airesis.eu. A social network for E-Democracy,Digital Social Innovation Database,https://www.airesis.eu/edemocracy,NULL,NULL,
3685,"Development of the ""FreedomBox"" personal server",Digital Social Innovation Database,https://wiki.debian.org/FreedomBox/Introduction,NULL,NULL,
3687,DIALOGUE,Digital Social Innovation Database,http://www.dialogue-se.com/,NULL,NULL,
3688,Dialogue Cafe Amsterdam,Digital Social Innovation Database,https://waag.org/en/project/dialogue-cafe-amsterdam,NULL,NULL,
3689,DIAVLOS: Creation and evaluation of a unified design methodology and development of Intelligent Transport Systems (ITS) for medium sized ISLAND cities,Digital Social Innovation Database,https://www.aebr.eu/files/publications/RHODES_CBA_application_final.pdf,NULL,NULL,pdf file
3693,Digidem Lab,Digital Social Innovation Database,http://digidemlab.org/en/about/,NULL,NULL,
3695,Digital Age Project,Digital Social Innovation Database,http://digital-age.org.uk/about-digital-age-northern-ireland/,NULL,NULL,
3696,Digital assignment,Digital Social Innovation Database,Not found,NULL,NULL,
3697,Digital Augmentation of Cities,Digital Social Innovation Database,Not found,NULL,NULL,
3699,Digital Communications,Digital Social Innovation Database,Not found,NULL,NULL,
3700,Digital eBook in Sign Language,Digital Social Innovation Database,Not found,NULL,NULL,
3701,Digital Enlightenment Forum (DEF),Digital Social Innovation Database,https://digitalenlightenment.org/about-us,NULL,NULL,
3702,Digital Entrepreneurs,Digital Social Innovation Database,http://dgtlentrepreneurs.com/,NULL,NULL,
3703,Digital Ethnography Research Centre Europe,Digital Social Innovation Database,https://www.rmit.edu.au/research/research-institutes-centres-and-groups/research-centres/digital-ethnography-research-centre,NULL,NULL,
3704,Digital Global EU youth,Digital Social Innovation Database,Not found,NULL,NULL,
3705,Digital Inclusion,Digital Social Innovation Database,https://www.goodthingsfoundation.org/projects/future-digital-inclusion,NULL,NULL,Future digital inclusion? Website included 
3706,Digital inclusion  ICT centres,Digital Social Innovation Database,Not found,NULL,NULL,
3707,Digital Inclusion in Big Local areas,Digital Social Innovation Database,Not found,NULL,NULL,
3708,Digital inclusion in social housing,Digital Social Innovation Database,Not found,NULL,NULL,
3710,Digital Magazine diffunding digital fabrications to communities in Spain and Latinamerica,Digital Social Innovation Database,Not found,NULL,NULL,
3711,Digital Marketing,Digital Social Innovation Database,Not found,NULL,NULL,
3715,Digital Security in E-Commerce,Digital Social Innovation Database,Not found,NULL,NULL,
3716,Digital Skills Development for Young People,Digital Social Innovation Database,Not found,NULL,NULL,
3717,Digital Social Innovation,Digital Social Innovation Database,https://www.nesta.org.uk/project/digital-social-innovation/,NULL,NULL,
3718,Digital storytelling,Digital Social Innovation Database,http://arts.brighton.ac.uk/projects/silver-stories/how-can-we-understand-digital-storytelling,NULL,NULL,
3719,Digital Storytelling for development,Digital Social Innovation Database,Not found,NULL,NULL,
3720,Digital studies,Digital Social Innovation Database,Not found,NULL,NULL,Not SI?
3721,Digitale Helden,Digital Social Innovation Database,https://www.digitale-helden.de/,NULL,NULL,
3724,DisciplineXgames,Digital Social Innovation Database,http://www.disciplinexgames.com/,NULL,NULL,Not SI?
3726,DISENO SOCIAL (Social Design),Digital Social Innovation Database,http://disenosocial.org/diseno-social-0901/,NULL,NULL,
3728,"Disrupt journalism, knowledge distribution and societal networks.",Digital Social Innovation Database,Not found,NULL,NULL,
3729,Distributed Social Network,Digital Social Innovation Database,Not found,NULL,NULL,
3732,DIY Audio Electronics,Digital Social Innovation Database,Not found,NULL,NULL,
